episode,total_reward,progress,win,n_clicks,beta,learn_rate,avg_bonus
352,-28.62,3,0,4,0.1,0.001,1.0939
353,-32.24,1,0,2,0.1,0.001,1.3786
354,-28.2,3,0,4,0.1,0.001,1.201
355,-30.15,2,0,3,0.1,0.001,1.2842
356,-33.64,1,0,2,0.1,0.001,0.6823
357,-15.05,8,0,9,0.1,0.001,1.4388
358,-23.27,4,0,5,0.1,0.001,1.7466
359,-31.69,1,0,2,0.1,0.001,1.6567
360,-26.49,3,0,4,0.1,0.001,1.6284
361,-28.47,2,0,3,0.1,0.001,1.8431
362,-30.22,2,0,3,0.1,0.001,1.261
363,-25.04,3,0,4,0.1,0.001,1.9899
364,-28.59,2,0,3,0.1,0.001,1.8021
365,-33.28,1,0,2,0.1,0.001,0.86
366,-29.56,3,0,4,0.1,0.001,0.8595
367,-23.81,4,0,5,0.1,0.001,1.639
368,-22.46,4,0,5,0.1,0.001,1.907
369,-31.83,1,0,2,0.1,0.001,1.5845
370,-33.42,1,0,2,0.1,0.001,0.7893
371,-31.84,1,0,2,0.1,0.001,1.5794
372,-9.79,10,0,11,0.1,0.001,1.474
373,-33.23,1,0,2,0.1,0.001,0.8846
374,-33.66,1,0,2,0.1,0.001,0.6721
375,-31.87,1,0,2,0.1,0.001,1.5629
376,-23.7,4,0,5,0.1,0.001,1.6594
377,-33.38,1,0,2,0.1,0.001,0.8117
378,-33.51,1,0,2,0.1,0.001,0.7473
379,-27.46,3,0,4,0.1,0.001,1.385
380,-22.13,4,0,5,0.1,0.001,1.9731
381,-21.15,5,0,6,0.1,0.001,1.6417
382,-30.47,2,0,3,0.1,0.001,1.1757
383,-23.39,4,0,5,0.1,0.001,1.723
384,-18.2,5,0,6,0.1,0.001,2.1327
385,-28.17,3,0,4,0.1,0.001,1.2072
386,-21.67,5,0,6,0.1,0.001,1.5547
387,-33.49,1,0,2,0.1,0.001,0.7564
388,-20.9,5,0,6,0.1,0.001,1.6836
389,-23.93,4,0,5,0.1,0.001,1.614
390,-26.71,3,0,4,0.1,0.001,1.5721
391,49.47,5,1,5,0.1,0.001,1.8943
392,-28.52,2,0,3,0.1,0.001,1.8253
393,-21.91,5,0,6,0.1,0.001,1.515
394,-30.31,2,0,3,0.1,0.001,1.2311
395,-29.8,3,0,4,0.1,0.001,0.8008
396,-22.75,4,0,5,0.1,0.001,1.8497
397,-28.58,2,0,3,0.1,0.001,1.8069
398,-16.45,6,0,7,0.1,0.001,1.9361
399,-27.4,3,0,4,0.1,0.001,1.4011
